Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14
Total,79.61,58.03,3.92,23.18,8.19,22.74,6.97,15.77,8.39,24.16,34.85,30.93,35.29
Punjab,20.63,17.54,0.48,3.02,1.46,12.58,1.83,10.75,6.85,17.60,14.52,14.04,4.96
Sindh,14.09,14.08,1.04,6.41,1.60,5.03,2.37,2.66,0.99,3.65,7.67,6.63,9.05
Khyber Pakhtunkhwa,10.17,8.34,1.24,3.92,1.31,1.87,0.59,1.28,0.55,1.83,4.42,3.18,6.47
Balochistan,34.72,18.07,1.16,9.83,3.82,3.26,2.18,1.08,0.00,1.08,8.24,7.08,14.81
2020-21,,,,,,,,,,,,,
Total,79.61,58.23,4.58,23.37,8.18,22.10,6.37,15.73,8.27,24.00,34.86,30.28,36.13
Punjab,20.63,17.48,0.48,3.02,1.45,12.53,1.74,10.79,6.73,17.52,14.46,13.98,4.95
Sindh,14.09,14.09,1.04,6.54,1.61,4.90,2.37,2.53,0.96,3.49,7.55,6.51,9.19
Khyber Pakhtunkhwa,10.17,8.35,1.22,3.97,1.31,1.85,0.63,1.22,0.58,1.80,4.38,3.16,6.50
Balochistan,34.72,18.31,1.84,9.84,3.81,2.82,1.63,1.19,0.00,1.19,8.47,6.63,15.49
2021-22,,,,,,,,,,,,,
Total,79.61,57.95,4.49,23.23,8.24,21.99,6.46,15.53,8.32,23.85,34.72,30.23,35.96
Punjab (R),20.63,17.48,0.48,3.02,1.45,12.53,1.74,10.79,6.73,17.52,14.46,13.98,4.95
Sindh,14.09,13.79,1.04,6.40,1.61,4.74,2.37,2.37,0.99,3.36,7.39,6.35,9.05
Khyber Pakhtunkhwa,10.17,8.37,1.18,3.98,1.39,1.82,0.64,1.18,0.60,1.78,4.39,3.21,6.55
Balochistan,34.72,18.31,1.79,9.83,3.79,2.90,1.71,1.19,0.00,1.19,8.48,6.69,15.41
"R= Repeated 3. TOTAL AREA REPORTED is the total physical area of the villages/deh, tehsils or districts etc. 4. FOREST AREA is the area of any land administered as forest under any legal enactment dealing with forests. Any cultivated area which may exist within such forest is shown under heading ""cultivated area"". 5. AREA NOT AVAILABLE FOR CULTIVATION is that uncultivated area of the farm which is under farm home steads, farm roads and other connected purposes and not available for cultivation 6. CULTURABLE WASTE is that uncultivated farm area which is fit for cultivation but was not cropped during the year under reference nor in the year before that. 7. CULTIVATED AREA is that area which was sown at least during the year under reference or during the previous year. Cultivated Area = Net Area sown + Current Fallow. 8. CURRENT FALLOW (ploughed but uncropped) is that area which is vacant during the year under reference but was sown at least once during the previous year . 9. NET AREA SOWN is that area which is sown at least once during (Kharif & Rabi) the year under reference. 10. AREA SOWN MORE THAN ONCE is the difference between the total cropped area and the net area sown. 11. TOTAL CROPPED AREA means the aggregate area of crops raised in a farm during the year under reference including the area under fruit trees.",,,,,,,,,,,,,
